"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Proteobacteria",2.91012451897346,2.95583605241282,3.28066918435305,3.17301457182376,2.73283265379414,2.38045928014328,2.87720711246893,2.45611773480845,0.00408242393869121,0.00355081975121262,0.00125380709650261,0.00178898964931999,0.00696385392065698,0.018438743061072,0.00457073224189476,0.0151415889665096,0.257502310595755,0.0634424310454139,0.177512978192493,0.0453645112452467,0.36908425779482,0.196297527603194,0.27901238317523,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria",2.94885885506088,3.02601353393555,3.30645016332002,3.25246651562405,2.74885528302054,2.46613933330604,2.90494025125433,2.52560604677712,0.00362541744075002,0.0028541185382484,0.00115024100992223,0.001378447524877,0.00664677926138428,0.014686749027795,0.00420365373119163,0.0125477000647066,0.257502310595755,0.0634424310454139,0.177512978192493,0.0453645112452467,0.36908425779482,0.19592695135901,0.27901238317523,0.210065255489433
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",1.14471728710679,3.03813394417706,1.16794300059662,2.83450133015063,1.02452244508141,2.4833262356506,0.672010782363611,2.02919741204213,0.253889486499065,0.0027473880833017,0.244446162342982,0.00514280152335444,0.307088257151784,0.0140216372897643,0.502564540590442,0.0441383939029426,0.708218041286864,0.0634424310454139,0.637162947746461,0.0812384458312375,0.927489762121745,0.19592695135901,0.942134803241546,0.326880985282161
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",1.14471728710679,3.03813394417706,1.16794300059662,2.83450133015063,1.02452244508141,2.4833262356506,0.672010782363611,2.02919741204213,0.253889486499065,0.0027473880833017,0.244446162342982,0.00514280152335444,0.307088257151784,0.0140216372897643,0.502564540590442,0.0441383939029426,0.708218041286864,0.0634424310454139,0.637162947746461,0.0812384458312375,0.927489762121745,0.19592695135901,0.942134803241546,0.326880985282161
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",2.31348231517763,3.19779572402904,2.31643953190992,3.16193242868499,2.74655713229396,3.35276038937549,2.54333992043307,3.11236055247571,0.0218588849491648,0.00164533913769027,0.0217135346046106,0.001854524044617,0.00669143832668288,0.000993527491711001,0.0119465460895322,0.00220804595016351,0.349624897544012,0.0634424310454139,0.305749794542829,0.0453645112452467,0.36908425779482,0.0789854355910246,0.379900165647123,0.170795740602204
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus",1.04362831490581,3.37608716947059,1.07886193854753,3.17554392981567,1.00937493404417,2.98358332249841,0.61691705802071,2.34197917914853,0.298096892970686,0.000906862020581189,0.282159899243773,0.00177433636127278,0.314272768595808,0.00328444936443628,0.538183038952809,0.020445545287086,0.789956766372317,0.0576764245089636,0.692804565910114,0.0453645112452467,0.927489762121745,0.114513981036325,0.942134803241546,0.232202978617619
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae--g__Haemophilus--__",1.04416023105651,3.37840656972985,1.07935555035295,3.17772318687981,1.01049715552771,2.98681498732514,0.617641159520057,2.34434328542314,0.297851467358786,0.000899717674194045,0.281940508336041,0.0017618006470643,0.313736700033554,0.00325172501357969,0.537706737995828,0.0203209003153106,0.789956766372317,0.0576764245089636,0.692804565910114,0.0453645112452467,0.927489762121745,0.114513981036325,0.942134803241546,0.232202978617619
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",2.55124583049642,3.41574266673616,2.53186291859919,3.32742196480322,3.00195818269551,3.48769593286952,2.77771126757015,3.25549313522016,0.0115898648106486,0.000791715440334479,0.0122415156958255,0.00107314936118361,0.00309969772723095,0.000625490617465629,0.00614178201958053,0.00138842055978765,0.279404543441816,0.0576764245089636,0.242271712762062,0.0453645112452467,0.32856795908648,0.0663020054513566,0.27901238317523,0.147172579337491
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae",2.96117963063643,3.87432844306001,2.88769843105568,3.75882067576894,3.19845795364984,3.77354450657826,3.23659975553328,3.85391542782234,0.0034901995601462,0.000151222576162148,0.00437934499752832,0.000234036349499408,0.00165670652071026,0.000224532420714866,0.00147560492424922,0.000169475607332459,0.257502310595755,0.0240443896097816,0.197883748843499,0.0372117795704059,0.263416336792932,0.0357006548936638,0.234621182955626,0.026946621565861
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales",3.22202551837032,4.30764956883551,3.11012355025974,4.14177589982804,3.35296547428632,4.17871069771793,3.36387675149156,4.25712455941588,0.00151807494669191,2.75265472755455e-05,0.00218950382760195,5.40623657972748e-05,0.000991590997446676,4.75575266491512e-05,0.000965839100430473,3.56295757673134e-05,0.257502310595755,0.00875344203362346,0.177512978192493,0.0171918323235334,0.263416336792932,0.0151232934744301,0.234621182955626,0.0113302050940057
