"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__",-0.52858427495645,-0.63145953524625,-0.679682677528324,-0.902325285242127,-0.685465027051066,-1.09889856802126,-0.446957523968007,-0.923012043295442,0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338,0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--__--__--__--__",-0.52858427495645,-0.63145953524625,-0.679682677528324,-0.902325285242127,-0.685465027051066,-1.09889856802126,-0.446957523968007,-0.923012043295442,0.597763594839052,0.528568778523555,0.497619121326328,0.368153328924982,0.494012435041419,0.273422915237655,0.655521691171779,0.357426324304338,0.915335264728382,0.753292133584511,0.874594955524981,0.656529386387359,0.948775914096762,0.663026878237941,0.942134803241546,0.693058360541337
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Rhizobiales--f__Beijerinckiaceae--g__Methylobacterium",-0.625592595169041,-0.623764041074498,-0.84927500018264,-0.752348627641294,-0.824743452239518,-0.246429060192668,-0.772587712377178,0.0898029368144393,0.532397191089864,0.533599427887928,0.396908794280567,0.452875813528388,0.410707959520356,0.805658287155822,0.440927927707757,0.928559008513109,0.903703808335603,0.753292133584511,0.767849669557555,0.709830661881296,0.948775914096762,0.94103852005273,0.922467638230702,0.968136933466127
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria--o__Rhizobiales--f__Beijerinckiaceae--g__Methylobacterium--__",-0.625592595169041,-0.623764041074498,-0.84927500018264,-0.752348627641294,-0.824743452239518,-0.246429060192668,-0.772587712377178,0.0898029368144393,0.532397191089864,0.533599427887928,0.396908794280567,0.452875813528388,0.410707959520356,0.805658287155822,0.440927927707757,0.928559008513109,0.903703808335603,0.753292133584511,0.767849669557555,0.709830661881296,0.948775914096762,0.94103852005273,0.922467638230702,0.968136933466127
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Porphyromonadaceae",-0.8275148776736,-0.621081804710774,-0.488241085538016,-0.358202781535244,0.0738046287960411,0.128244031815917,0.243146885917686,0.278456604490906,0.409072295803021,0.535358560346225,0.62600093907419,0.72063336516036,0.941255240901123,0.898112981796371,0.808209000655113,0.781030626651319,0.859973054413071,0.753292133584511,0.916503932531156,0.809757632936376,0.982120528283542,0.96486462233529,0.974817410519871,0.893409134083163
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Porphyromonadaceae--g__Porphyromonas",-0.8275148776736,-0.621081804710774,-0.488241085538016,-0.358202781535244,0.0738046287960411,0.128244031815917,0.243146885917686,0.278456604490906,0.409072295803021,0.535358560346225,0.62600093907419,0.72063336516036,0.941255240901123,0.898112981796371,0.808209000655113,0.781030626651319,0.859973054413071,0.753292133584511,0.916503932531156,0.809757632936376,0.982120528283542,0.96486462233529,0.974817410519871,0.893409134083163
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Faecalitalea--__",-0.448847588721208,-0.602370502898806,-0.41729073256619,-0.493168699176921,-0.519822737242817,-0.63054902441389,-0.544709968943197,-0.488389171280891,0.654096916049519,0.547711731658863,0.676986155592986,0.622526124445026,0.603883813587712,0.529213108285362,0.586725883789032,0.625960018403062,0.921405310748654,0.760796314278452,0.936006945558998,0.778827597714816,0.948775914096762,0.784475665170311,0.942134803241546,0.832867304820811
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Veillonellaceae--g__Dialister",-0.0717544802803673,-0.602133596023174,-0.0486404598438534,-0.661083417590755,0.493902486449355,0.100062024005457,0.691600970930671,0.243065332051497,0.94287923769011,0.54786904393008,0.961262260136965,0.509448517129707,0.622031887133834,0.920417298756709,0.490209399844765,0.808274096570041,0.993059764925697,0.760796314278452,0.989803132481259,0.767794447617284,0.948775914096762,0.965982511566447,0.942134803241546,0.898417001000881
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Flavonifractor",-0.957615626447477,-0.561483977373948,-0.842232875138758,-0.483476439953936,-0.580071547405582,-0.241139998732393,-0.419405819999228,-0.319782601903737,0.339577694973436,0.575190105599555,0.400827185995453,0.629375983415859,0.562657654864776,0.809747828214516,0.675492877795826,0.749561004937695,0.814644892238888,0.773984728843072,0.767849669557555,0.778827597714816,0.948775914096762,0.94103852005273,0.942134803241546,0.877879091730846
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Flavonifractor--__",-0.957615626447477,-0.561483977373948,-0.842232875138758,-0.483476439953936,-0.580071547405582,-0.241139998732393,-0.419405819999228,-0.319782601903737,0.339577694973436,0.575190105599555,0.400827185995453,0.629375983415859,0.562657654864776,0.809747828214516,0.675492877795826,0.749561004937695,0.814644892238888,0.773984728843072,0.767849669557555,0.778827597714816,0.948775914096762,0.94103852005273,0.942134803241546,0.877879091730846
