"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae",-2.25633150715803,-1.91946215392555,-2.20350426266666,-1.89493617302792,-2.0603417672254,-1.66460801629468,-1.77813421477511,-1.56303652993465,0.0252873353569568,0.0565620915102109,0.0288876721874397,0.0597884082902662,0.04093591149356,0.0979003649136176,0.0773173812323747,0.120070341590064,0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium",-2.25633150715803,-1.91946215392555,-2.20350426266666,-1.89493617302792,-2.0603417672254,-1.66460801629468,-1.77813421477511,-1.56303652993465,0.0252873353569568,0.0565620915102109,0.0288876721874397,0.0597884082902662,0.04093591149356,0.0979003649136176,0.0773173812323747,0.120070341590064,0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Fusobacteria",-2.26618727607028,-1.90272252494865,-2.21483008549887,-1.88194274084682,-2.07577767667418,-1.6545772066017,-1.79113798307873,-1.54497455036665,0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595,0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia",-2.26618727607028,-1.90272252494865,-2.21483008549887,-1.88194274084682,-2.07577767667418,-1.6545772066017,-1.79113798307873,-1.54497455036665,0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595,0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales",-2.26618727607028,-1.90272252494865,-2.21483008549887,-1.88194274084682,-2.07577767667418,-1.6545772066017,-1.79113798307873,-1.54497455036665,0.0246645509465176,0.0587282581762244,0.0280854425335431,0.0615428050984325,0.0394656564895538,0.0999228716159861,0.0751976201737437,0.12437861661595,0.349624897544012,0.287316709231375,0.316768267434683,0.283308048069393,0.406800620467252,0.435280454436762,0.614673180797379,0.513667533556779
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Alloprevotella",-1.75105895787196,-1.87172009485676,-1.31290558720098,-1.4166477100839,-1.58642821782019,-1.70540726266874,-1.48147889006925,-1.60691745638278,0.0816878746026393,0.0629236447482142,0.190963751048477,0.158405121848801,0.114556768471239,0.090011791730915,0.140483233066919,0.110094669936321,0.481050817104432,0.292944298837552,0.59521802108456,0.481851724961234,0.654128269696311,0.435280454436762,0.744561135254671,0.507392826663046
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminiclostridium_9",-1.06673096508799,-1.86916916311942,-1.18032671279434,-2.09463742360845,-0.794253205496138,-1.84585841193429,-0.888028242604497,-1.66079187679456,0.287562761815194,0.063279706874471,0.239500061511138,0.0376770706238623,0.428188891222084,0.0667155873415989,0.37588400830405,0.098763814844539,0.77495727336637,0.292944298837552,0.637162947746461,0.268987281134001,0.948775914096762,0.375429227992581,0.917647270504774,0.47198863042677
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Eubacterium_hallii_group--__",-0.85165172459644,-1.86605434389483,-1.30198481059151,-2.40760881160241,-0.509017240759422,-1.77620169103529,-0.507954980721983,-1.52869571800381,0.395571337852768,0.0637167528233651,0.194662497461617,0.0171212549253356,0.611420145938231,0.0775538638015852,0.612197819678832,0.128365033495638,0.85926263294913,0.292944298837552,0.59521802108456,0.156187748844959,0.948775914096762,0.408438367278416,0.942134803241546,0.516422095569756
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminiclostridium_9--__",-1.07127446968159,-1.86587258463021,-1.18368309799215,-2.0903627280999,-0.791657259565587,-1.84191304980855,-0.881903925940132,-1.65742064779669,0.285521233826538,0.0637423332627073,0.23817185571201,0.0380642378963209,0.429697142856999,0.0672939182250854,0.379176965996386,0.0994441454043824,0.77495727336637,0.292944298837552,0.637162947746461,0.268987281134001,0.948775914096762,0.375429227992581,0.917647270504774,0.47198863042677
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Eubacterium_hallii_group",-0.85165172459644,-1.860624797921,-1.30198481059151,-2.40275809327604,-0.509017240759422,-1.77141940479156,-0.507954980721983,-1.52348464052334,0.395571337852768,0.0644845940837379,0.194662497461617,0.017342306022755,0.611420145938231,0.0783482402640987,0.612197819678832,0.129662114011298,0.85926263294913,0.292944298837552,0.59521802108456,0.156187748844959,0.948775914096762,0.408438367278416,0.942134803241546,0.516422095569756
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminiclostridium_5--s__uncultured_organism",-0.980878048633158,-1.82225105191254,-1.06820551423661,-1.78048860904859,-1.1263726405526,-2.42370167305092,-1.23448609079631,-2.91105887351607,0.328006973700006,0.0701337233388827,0.286924741557432,0.0767715993057104,0.261643354271221,0.0164506684648122,0.218866340421672,0.00412986870832418,0.814644892238888,0.308745992134107,0.692804565910114,0.339074563600221,0.907485396255181,0.196297527603194,0.837768464465457,0.210065255489433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptococcaceae--g__Peptococcus",-2.03267249798278,-1.81740349105379,-2.08146081788877,-1.91801622074451,-2.09708581396306,-1.86291881039162,-2.28562392482476,-2.01978515550283,0.0435968362414956,0.070875652282358,0.0388727716969248,0.0567752916973751,0.0375105547143622,0.0642621330754055,0.0236141890152853,0.0451174547025988,0.369216185106367,0.308745992134107,0.358844977182206,0.283308048069393,0.406800620467252,0.375068755977475,0.395226952992669,0.326880985282161
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Eggerthellaceae--g__Slackia",-0.944708977460377,-1.78820305843122,-1.09895189349048,-1.90281075210597,-1.05352957297901,-1.88048256299542,-0.523524108719947,-1.34446565244975,0.346109963495691,0.0754833193742392,0.27332492294433,0.0587456765410556,0.29363867243746,0.0618152878043164,0.601347751163182,0.18074955991561,0.814644892238888,0.320049274146774,0.692804565910114,0.283308048069393,0.927489762121745,0.375068755977475,0.942134803241546,0.563991477765849
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Barnesiellaceae--g__Barnesiella",-1.57023465863648,-1.70222455634092,-1.65625733764957,-1.8817571045649,-1.81329527019417,-1.88840302899155,-2.31033171361587,-2.31194419568724,0.118166846306402,0.0904991405489593,0.0994928945806131,0.0615681782896547,0.0716035455084219,0.0607376001283192,0.0221716856894749,0.0220887001948272,0.517744850821231,0.355292922155174,0.510302265752177,0.283308048069393,0.555364084675077,0.375068755977475,0.395226952992669,0.236685933835362
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Barnesiellaceae--g__Barnesiella--__",-1.57023465863648,-1.69596670247196,-1.65625733764957,-1.87597114560004,-1.81329527019417,-1.88346543846801,-2.31033171361587,-2.30772003812091,0.118166846306402,0.0916806175420236,0.0994928945806131,0.062363406807728,0.0716035455084219,0.0614075665740104,0.0221716856894749,0.0223288616825813,0.517744850821231,0.355541907053214,0.510302265752177,0.283308048069393,0.555364084675077,0.375068755977475,0.395226952992669,0.236685933835362
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Bacteroidaceae--g__Bacteroides--s__Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223",-1.66609079522644,-1.67170862522009,-1.72334797071125,-1.74523695396637,-2.02985587019724,-2.1900222249728,-1.97818052246539,-2.1406168153375,0.0974842799754069,0.0963791771664463,0.0866226678091702,0.0827399446510274,0.0439775958058983,0.0299345570871851,0.04965824908522,0.0338588956184261,0.517744850821231,0.369259979987107,0.510302265752177,0.341373242045325,0.423784105038656,0.236315880798361,0.536604665485784,0.307632251618843
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Eubacterium_coprostanoligenes_group--__",-2.06127207615747,-1.63200285312059,-2.1474713158553,-1.75683605659938,-1.12424278319529,-1.18677693887464,-1.2989744971163,-1.62460755151129,0.0407560311749631,0.104487364238882,0.0331558742266634,0.0807355986831104,0.262542944828543,0.237031901176433,0.195857151704164,0.106264950656448,0.369216185106367,0.384836078045007,0.335535300313884,0.341373242045325,0.907485396255181,0.663026878237941,0.8325899324942,0.496944916305152
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Thiomonas--s__Thiomonas_sp._FB-Cd",-1.26812140186844,-1.58262546759757,-1.42432152519832,-1.913855622716,-1.3613668990004,-1.86336510802078,-2.00041616180351,-2.44062190152214,0.206439092713826,0.115322795376297,0.156165179443958,0.0573088456784819,0.175253930735348,0.0641989736432253,0.0471793938087822,0.0157813035805372,0.642194579199038,0.412052235164748,0.552267014527972,0.283308048069393,0.80475579142179,0.375068755977475,0.536604665485784,0.210065255489433
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Eggerthellaceae",-1.56144823935047,-1.54692400378104,-1.47336055562243,-1.51318538448684,-1.65949742303896,-1.93470325056352,-1.37928975180427,-1.98088636817159,0.12022459852623,0.123698433240689,0.142481555427892,0.132078601648202,0.0989150719924252,0.054747647378236,0.169767010371933,0.0493620495012946,0.517744850821231,0.432264854621307,0.533048642659644,0.456552736098608,0.654128269696311,0.362703163880813,0.806232106983388,0.348825149809148
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Family_XI",-0.618413316599813,-1.53035925973302,-0.439760376564515,-1.2575520221643,-0.229357879172204,-1.17848680303737,-0.449707728264584,-1.06796447625353,0.537106980425877,0.127743824808997,0.660662724168948,0.210268510777149,0.818874829582066,0.240309666188439,0.653541457743614,0.287186389709891,0.903703808335603,0.436801465475926,0.929605072060732,0.506555957781312,0.960893711465302,0.663026878237941,0.942134803241546,0.648785320288771
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium--__",-0.985604829696992,-1.39469763701716,-0.736836068294122,-1.1805423168092,-0.62959108085293,-1.07588550959512,-0.954731677860942,-1.3391685657923,0.325687782868841,0.1648850123196,0.462225907200599,0.239424100658545,0.529832965706537,0.283558664906792,0.341181100482377,0.182463757610445,0.814644892238888,0.542608095750538,0.835158173237447,0.551716405865342,0.948775914096762,0.663026878237941,0.904129916278299,0.563991477765849
"d__Bacteria--p__Proteobacteria--c__Deltaproteobacteria--o__Desulfovibrionales--f__Desulfovibrionaceae--g__Desulfovibrio",-1.19960983914024,-1.38247869660925,-1.21330809195283,-1.50128752728644,-0.755076429268293,-1.22111550347811,-0.962015822693283,-1.31320545513203,0.231912518745226,0.168596633446683,0.226675637118958,0.135125462367585,0.451279566982745,0.223794886885559,0.337520974374338,0.191042034688407,0.676588816155796,0.542608095750538,0.626639010258268,0.456552736098608,0.948775914096762,0.663026878237941,0.903272733944685,0.565959207486402
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Barnesiellaceae",-1.22303665654724,-1.38043967172295,-1.32931086817667,-1.59095302730072,-1.44702473263527,-1.56177032930259,-1.98337240416155,-2.01872562714226,0.222960274825713,0.169222117032725,0.185505910353788,0.11346714800995,0.149787155680762,0.12026972024,0.0490697925734888,0.0452288155736323,0.662629601818473,0.542608095750538,0.59521802108456,0.419564570548419,0.749922261816453,0.482586920638509,0.536604665485784,0.326880985282161
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae",-1.56259955831843,-1.37412506470223,-1.4385819448387,-0.990479297337142,-1.29626072991168,-0.895276326579506,-1.16498665645666,-0.940864986100228,0.119953362978334,0.171170299350507,0.152086153734093,0.323339363503697,0.196695786355737,0.371951510674549,0.245791418058189,0.348228687706787,0.517744850821231,0.542608095750538,0.552267014527972,0.642636984963598,0.812328052741876,0.69312206661443,0.837768464465457,0.69210451681724
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium",-0.998960652180744,-1.37036686967788,-0.763808915634315,-1.1635751149746,-0.679112359165414,-1.07694516114691,-1.02821158045687,-1.34925065158081,0.319193031020677,0.172337791417624,0.446027600930502,0.246217260639397,0.498018172118464,0.283086389872449,0.305431800726612,0.179211484880716,0.814644892238888,0.542608095750538,0.819865763560114,0.555298502718641,0.948775914096762,0.663026878237941,0.903272733944685,0.563991477765849
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Paraprevotella",-1.31589493107701,-1.34827326868644,-1.40216705493551,-1.41077314515437,-0.87411829224611,-0.982049357905737,-0.532173357404975,-0.541259485640248,0.189930473275755,0.179322973905207,0.162667546403692,0.160128137688842,0.383324324549468,0.327522063159434,0.595358231051451,0.589100854128871,0.610079702037274,0.549850022923713,0.562263910395371,0.481851724961234,0.948775914096762,0.678745012918447,0.942134803241546,0.800751702537585
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium",-0.81315540174502,-1.34670995747693,-0.947162253836244,-1.55014654931011,-0.717938940871853,-1.25657214549518,-0.982399891325221,-1.18437700129378,0.417233884205736,0.179825164729768,0.344884892204584,0.122955123274741,0.473810215170806,0.210695472995058,0.327414351684211,0.238065222222639,0.859973054413071,0.549850022923713,0.728491274813583,0.444315104560994,0.948775914096762,0.663026878237941,0.903272733944685,0.609038399641487
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Paraprevotella--__",-0.920554950855043,-1.32776288277429,-0.9860418482865,-1.37335168373856,-0.520580251304262,-1.00117410446985,-0.241270086412836,-0.610833942656917,0.358550065835662,0.185995687398267,0.325497614319775,0.171441017622811,0.603357065582396,0.318217550339269,0.80966060632893,0.542198480600866,0.820280006731945,0.560325835668397,0.728491274813583,0.492358125838216,0.948775914096762,0.678745012918447,0.974817410519871,0.780176999235636
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Family_XIII--g__Family_XIII_AD3011_group--__",0.314198089567704,-1.32443628687469,0.369238613324486,-1.30815587959778,0.461953465720896,-1.55696897867956,0.423686632587581,-1.8059095473273,0.753744840964368,0.187095167323983,0.712404034213826,0.192576154327773,0.644723195147285,0.12140551462604,0.672374251707258,0.0728603294996094,0.942180384632749,0.560325835668397,0.94312865289619,0.49536688124211,0.948775914096762,0.482586920638509,0.942134803241546,0.406483943524137
"d__Bacteria--p__Verrucomicrobia--c__Verrucomicrobiae--o__Verrucomicrobiales--f__Akkermansiaceae--g__Akkermansia--s__uncultured_bacterium",-1.00557223796166,-1.3200949318526,-0.934696018838836,-1.22768763820426,-0.394529959563609,-0.800707576032598,-0.516372033479802,-1.02877551578724,0.316009761557038,0.188537309485907,0.35125535926317,0.221251549336062,0.693699293836601,0.424459398133991,0.606321134307987,0.305177630458039,0.814644892238888,0.560325835668397,0.728491274813583,0.526052938164253,0.948775914096762,0.72180796046315,0.942134803241546,0.669286113694182
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_7",-0.813982206111306,-1.31372492352593,-0.810927538667743,-1.31194071068774,-0.950897280813353,-1.34161963799122,-0.80671618183509,-1.12289646865311,0.416761336921743,0.190668289605087,0.418527957721424,0.191298635867149,0.343047312126305,0.181574097394837,0.421050379468349,0.263206648850261,0.859973054413071,0.561412186059423,0.792213634258409,0.49536688124211,0.948775914096762,0.663026878237941,0.922467638230702,0.627172971265191
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Faecalitalea",-1.42512946393295,-1.2917637092168,-1.20831358097971,-0.977730454486625,-0.770912470644553,-0.592405157907874,-0.872875146996144,-0.58866200660337,0.155900840179036,0.198152167068816,0.228585299339494,0.329588842737068,0.441861322859069,0.55439521077948,0.38406417520345,0.556939397010554,0.557038957044197,0.577127710126633,0.626639010258268,0.649096654598708,0.948775914096762,0.784475665170311,0.917647270504774,0.79220213172733
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Prevotellaceae--g__Prevotella_7--__",-0.871262436702949,-1.2874843428706,-0.868430004732737,-1.29955667190584,-1.02988539131333,-1.33550782291567,-0.873482050125991,-1.12036422757452,0.384804545595913,0.199635371427452,0.386369080337042,0.195502193091771,0.304571111416658,0.183560764387531,0.383734448066984,0.264280434432502,0.85926263294913,0.577127710126633,0.767849669557555,0.49536688124211,0.927489762121745,0.663026878237941,0.917647270504774,0.627172971265191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae",-1.63836168603753,-1.25866961650663,-2.26907287098138,-1.7684565843405,-1.42613834178099,-1.26141189149028,-1.2719035956271,-1.30447678042007,0.103142951181564,0.209835832191077,0.0245062173294002,0.0787676113524017,0.155717678243323,0.208951766978032,0.205288147849653,0.193992306968609,0.517744850821231,0.585020471994395,0.316768267434683,0.341373242045325,0.761818795098106,0.663026878237941,0.8325899324942,0.565959207486402
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium",-0.940218278296349,-1.25388995194887,-1.26911285767901,-1.50121228481315,-1.31962843986594,-1.47810898730811,-1.26754180391373,-1.45690597523908,0.348401589133613,0.211564007167784,0.206115480197301,0.135144903702041,0.188787176661346,0.141296580205844,0.206838379456106,0.14715223538333,0.814644892238888,0.585020471994395,0.618346440591903,0.456552736098608,0.80475579142179,0.54795503055437,0.8325899324942,0.519937898354433
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Lachnoclostridium--__",-0.940218278296349,-1.25388995194887,-1.26911285767901,-1.50121228481315,-1.31962843986594,-1.47810898730811,-1.26754180391373,-1.45690597523908,0.348401589133613,0.211564007167784,0.206115480197301,0.135144903702041,0.188787176661346,0.141296580205844,0.206838379456106,0.14715223538333,0.814644892238888,0.585020471994395,0.618346440591903,0.456552736098608,0.80475579142179,0.54795503055437,0.8325899324942,0.519937898354433
"d__Bacteria--p__Cyanobacteria--c__Melainabacteria",-0.414527434497371,-1.22330781075341,-0.482077256304392,-1.34161877980164,-0.383534683771429,-1.18865117504857,-0.652983732844075,-1.19273391455407,0.678995557648909,0.222867575292546,0.630363935784912,0.181498564162066,0.70181708525791,0.236295303191477,0.514721825583571,0.234784590616578,0.938785162314579,0.608373815714285,0.916503932531156,0.492358125838216,0.948775914096762,0.663026878237941,0.942134803241546,0.609038399641487
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae",-0.510673182997573,-1.20584590383029,-0.75216142120805,-1.47425116283232,0.182459474978153,-0.573061341207575,-0.0475556163407981,-0.649696750646228,0.610223509818921,0.229514068084203,0.452982069848,0.142252593014047,0.855446138651867,0.567388059714376,0.962130844809997,0.516843636256766,0.915335264728382,0.608373815714285,0.825488856017732,0.458399149423032,0.968084954061543,0.784475665170311,0.977500347123256,0.750485280044071
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__",-1.47390182588467,-1.19691373104638,-1.41786715426597,-0.881928254406182,-1.02660941218928,-0.726024722562242,-0.785011056825207,-0.742359816626338,0.142304580474158,0.232968377555737,0.158038673968696,0.379053614768515,0.306107073290509,0.468858470583227,0.433630052109604,0.458985671902747,0.535344875328618,0.608373815714285,0.552267014527972,0.659715786546459,0.927489762121745,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae--__--__",-1.47390182588467,-1.19691373104638,-1.41786715426597,-0.881928254406182,-1.02660941218928,-0.726024722562242,-0.785011056825207,-0.742359816626338,0.142304580474158,0.232968377555737,0.158038673968696,0.379053614768515,0.306107073290509,0.468858470583227,0.433630052109604,0.458985671902747,0.535344875328618,0.608373815714285,0.552267014527972,0.659715786546459,0.927489762121745,0.745072747796388,0.922467638230702,0.739985227664105
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Holdemania--s__uncultured_bacterium",0.14437218899186,-1.19662766444012,-0.0848601790185487,-1.49640502517837,0.118334471486551,-1.25499535055345,0.10732417698361,-1.32212074054883,0.885372704194186,0.233079618547791,0.93247124358236,0.136391540658389,0.905946581550676,0.211265862469316,0.914668829671849,0.18806323896165,0.993059764925697,0.608373815714285,0.981873693573479,0.456552736098608,0.982120528283542,0.663026878237941,0.974817410519871,0.565959207486402
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcus_2",-0.72883144490576,-1.19090128029429,-0.935050409360224,-1.39892128917413,-0.495796164888338,-0.96420069676122,-0.85941139469985,-1.37979979031637,0.467079013216821,0.235314400417789,0.351073227034534,0.163647755647211,0.620697961854447,0.336364911357077,0.39142390572087,0.169622726295178,0.878882403567745,0.608373815714285,0.728491274813583,0.481851724961234,0.948775914096762,0.678745012918447,0.917647270504774,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcus_2--__",-0.72883144490576,-1.19090128029429,-0.935050409360224,-1.39892128917413,-0.495796164888338,-0.96420069676122,-0.85941139469985,-1.37979979031637,0.467079013216821,0.235314400417789,0.351073227034534,0.163647755647211,0.620697961854447,0.336364911357077,0.39142390572087,0.169622726295178,0.878882403567745,0.608373815714285,0.728491274813583,0.481851724961234,0.948775914096762,0.678745012918447,0.917647270504774,0.556082752184191
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Butyricicoccus",-0.443803752155968,-1.17055239749115,-0.347158406983057,-1.40021506170883,-0.653732217253565,-1.12519650475359,-0.813582714203465,-1.00023095135739,0.657732721823725,0.24337940662564,0.728896719490755,0.163260710656037,0.514194367650131,0.262149801796166,0.417116201482367,0.318747717074118,0.921405310748654,0.614243264340901,0.94312865289619,0.481851724961234,0.948775914096762,0.663026878237941,0.922467638230702,0.680280362614561
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Atopobiaceae",-0.514072248730647,-1.14812514954736,-0.613616551703453,-1.16906850933305,-0.316040634089686,-0.738540158915313,-0.290304557706859,-0.40444360413656,0.607850008331973,0.252492914032542,0.54027939231801,0.24400310865504,0.752371093492326,0.461241867576115,0.771966343803638,0.686440512431256,0.915335264728382,0.632226351672033,0.914145098599753,0.554235632516449,0.948775914096762,0.745072747796388,0.967645755779073,0.862798746850353
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Butyricicoccus--__",-0.358664902045681,-1.12760294087851,-0.293160479779317,-1.41156067090027,-0.619909867838022,-1.09455545636277,-0.792323668475116,-0.875935055921213,0.720278109140516,0.261040146442377,0.769752886841962,0.159896329398402,0.536172281590023,0.275316385756213,0.429367554354539,0.382412092594913,0.942180384632749,0.639857622272702,0.948574476450967,0.481851724961234,0.948775914096762,0.663026878237941,0.922467638230702,0.711862050898728
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminiclostridium_5--__",-1.43351592838828,-1.12287725309053,-1.48134529943342,-1.04460179022128,-0.956411488768862,-0.434006669296708,-1.27911139176649,-1.05346091282393,0.153494676373247,0.263036594588328,0.14034420647948,0.297681487602892,0.340263577716335,0.664854011165545,0.202745127495364,0.293758741525327,0.554673944166962,0.639857622272702,0.531303067386603,0.60294721692815,0.948775914096762,0.870055866463553,0.8325899324942,0.653253704930447
"d__Bacteria--p__Proteobacteria--c__Alphaproteobacteria",-1.24089615898357,-1.11684302640913,-1.24215686489395,-1.25755628114805,-1.22256094686662,-0.978871798607608,-1.31891426660747,-0.554940286513614,0.216305022461127,0.265601277169801,0.215869679344564,0.210266973385635,0.223239016488743,0.329085094552291,0.189118293276689,0.579730322130398,0.65509521088227,0.639857622272702,0.624334955169324,0.506555957781312,0.855301292089399,0.678745012918447,0.8325899324942,0.800751702537585
"d__Bacteria--p__Cyanobacteria",-0.417417644944199,-1.1019393314871,-0.488043736240569,-1.14406019265265,-0.413781438947538,-1.03147396899894,-0.704897779627864,-1.10455715000516,0.676884601185918,0.272009941338825,0.626140427154082,0.25419762546369,0.679571511665664,0.30383734972776,0.481918255821602,0.271052273723646,0.938785162314579,0.640573781236767,0.916503932531156,0.565278635646528,0.948775914096762,0.678745012918447,0.942134803241546,0.631013447443083
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Eggerthellaceae--g__Slackia--__",0.338591091325251,-1.09374778230845,0.204570456549214,-1.08422196663641,0.672939093791028,-0.937567166880261,1.14291216305869,-0.459578350599187,0.735323693095481,0.275577463858587,0.838149610764197,0.279792686714161,0.501927432106659,0.349845559761203,0.25481490858305,0.646458714431207,0.942180384632749,0.640573781236767,0.969007959568826,0.583925429640771,0.948775914096762,0.690882331047476,0.837768464465457,0.856557796621349
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Lactobacillaceae",-0.867079613393777,-1.09296011619573,-0.931711924629644,-1.09843215937511,-0.523733149623782,-0.883592262664817,-0.613416750259699,-1.00942888679147,0.387085733671373,0.275922191691215,0.352791372079534,0.273560019659093,0.601166897019675,0.378209801948794,0.540488488423015,0.314332113041578,0.85926263294913,0.640573781236767,0.728491274813583,0.583925429640771,0.948775914096762,0.69312206661443,0.942134803241546,0.677157784886588
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_UCG-005--__",-0.645123128893114,-1.08826124913748,-0.951790424727313,-1.35422399328925,-0.788549526041152,-1.32824336243267,-1.45335878986179,-1.74430448287113,0.519692258229028,0.277984848461238,0.342538855235668,0.177451772757675,0.43150683401681,0.185943184997469,0.148120085132191,0.0830756079937382,0.903703808335603,0.640573781236767,0.728491274813583,0.492358125838216,0.948775914096762,0.663026878237941,0.759712694710272,0.426097473258206
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Ruminococcaceae--g__Ruminococcaceae_UCG-005",-0.645123128893114,-1.06731515247906,-0.951790424727313,-1.33843076787277,-0.788549526041152,-1.31719688612044,-1.45335878986179,-1.73621185877364,0.519692258229028,0.287308151006238,0.342538855235668,0.18253291034572,0.43150683401681,0.18961003440714,0.148120085132191,0.0845006660297202,0.903703808335603,0.652232383112002,0.728491274813583,0.492358125838216,0.948775914096762,0.663026878237941,0.759712694710272,0.426527171388112
