"","model1_ASC","model1_DES","model2_ASC","model2_DES","model3_ASC","model3_DES","model4_ASC","model4_DES"
"d__Bacteria--p__Fusobacteria--c__Fusobacteriia--o__Fusobacteriales--f__Fusobacteriaceae--g__Fusobacterium--__",0.0113883844087543,0.055296576470755,0.0179083549759166,0.0736240562929172,0.0310708992655999,0.120388333400404,0.0523168333246196,0.138515792481463
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium",0.319193031020677,0.172337791417624,0.446027600930502,0.246217260639397,0.498018172118464,0.283086389872449,0.305431800726612,0.179211484880716
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella",0.0218588849491648,0.00164533913769027,0.0217135346046106,0.001854524044617,0.00669143832668288,0.000993527491711001,0.0119465460895322,0.00220804595016351
"d__Bacteria--p__Firmicutes--c__Erysipelotrichia--o__Erysipelotrichales--f__Erysipelotrichaceae--g__Erysipelatoclostridium--__",0.325687782868841,0.1648850123196,0.462225907200599,0.239424100658545,0.529832965706537,0.283558664906792,0.341181100482377,0.182463757610445
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Peptostreptococcaceae",0.119953362978334,0.171170299350507,0.152086153734093,0.323339363503697,0.196695786355737,0.371951510674549,0.245791418058189,0.348228687706787
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Burkholderiaceae--g__Sutterella--__",0.0115898648106486,0.000791715440334479,0.0122415156958255,0.00107314936118361,0.00309969772723095,0.000625490617465629,0.00614178201958053,0.00138842055978765
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group",0.864866174051823,0.42436186402897,0.942114733303629,0.54063487192906,0.449776391390325,0.857081604885409,0.92623596012069,0.710053431742363
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Ruminococcus_torques_group--__",0.864866174051823,0.42436186402897,0.942114733303629,0.54063487192906,0.449776391390325,0.857081604885409,0.92623596012069,0.710053431742363
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales",0.253889486499065,0.0027473880833017,0.244446162342982,0.00514280152335444,0.307088257151784,0.0140216372897643,0.502564540590442,0.0441383939029426
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Pasteurellales--f__Pasteurellaceae",0.253889486499065,0.0027473880833017,0.244446162342982,0.00514280152335444,0.307088257151784,0.0140216372897643,0.502564540590442,0.0441383939029426
